name,address,city,phone,website
My Pearl Beach Resort,"Gill Street Extension, Plaisance Road Mayaro",,1-868-650-1109,
Queen's Beach Hotel & Holiday Resort Ltd,Cor Edgehill & Gould Sts,Mayaro,1-868-630-5532,www.queensbeachresort.com
Palms Hotel Trinidad & Tobago,35A Eastern Mn Rd,Arouca,1-868-235-5035,palmstt.com
Jimmy's Holiday Resort,Store Bay Beach Rd,Crown Pt,1-868-639-8292,
Belle Viste Apartments,Sandy Pt,Tobago,1-868-639-9351,
Hotel Coconut Inn Ltd,Store Bay Local Rd,Tobago,1-868-639-8493,
Royal Palm Suite Hotel,7 Saddle Road,Maraval,1-868-628-5086,royalpalm.co.tt/
Pax Guest House Mt St Benedict & Pax Tea Garden,,,1-868-662-4084,
Le Grande Almandier,2 Hosang St,Toco,1-868-670-1013,
Maracas Bay Hotel Ltd,,,1-868-669-1914,www.maracasbay.com
Alicia's Palace,1 3/4MM Lady Chancellor Road,St Anns,1-868-624-8553,www.aliciaspalace.com
Radisson Trinidad,30 Wrightson Road POS,,1-868-625-3361,www.radisson.com/trinidad
Vicmol 2007 Ltd,5-6 Bholai Tr,Chase Vlg,1-868-665-1913,
Regent Star Hotel,118-119 BWIA Bl,Piarco,1-868 669-7827,www.regentstarhotel.com
Par-May-LA's Inn,53 Picton St,POS,1-868-628-2008,
James Holiday Resort Car Rentals & Tours,Crown Pt,Tobago,1-868-639-8084,
Sunshine Holiday Apartments Ltd,14 Milford Road,Bon Accord,1-868-639-7495,www.sunshine-apartments-tobago.com
Alicia's House,7 Coblentz Gardens,St Anns,1-868-623-2802,www.aliciaspalace.com/alicias-house/
Hyatt Regency Trinidad,1 Wrightson Road,POS,1-868-623-2222,www.hyatt.com/en-US/hotel/trinidad-tobago/hyatt-regency-trinidad/trirt
Sun Spree Resort Ltd,Storebay Local Rd,Tobago,1-868-631-5195,
Picton Court Visitor Accommodation,109 Woodford Street,Newtown,1-868-680-1468,www.pictoncourtapartments.com
Royal Hotel,46-54 Royal Rd,SFDO,1-868-652-4881,www.royalhoteltt.com
L'Orchidee Boutique Hotel,3 Coblentz Gardens POS,,1-868-621-0063,www.trinidadhosthomes.com
Magdalena Grand Beach Resort,Tobago Plantations Est Tobago,,1-868-660-8500,
